ngay,ngan_hang,ma,tong_luot_lien_ket,thanh_cong,that_bai,sr_phan_tram
2026-05-14 00:00:00,Vietcombank,VCB,12480,12081,399,96.8
2026-05-14 00:00:00,Techcombank,TCB,9230,8990,240,97.4
2026-05-14 00:00:00,MB Bank,MBB,8910,8741,169,98.1
2026-05-14 00:00:00,VietinBank,CTG,7640,7197,443,94.2
2026-05-14 00:00:00,BIDV,BIDV,6820,6240,580,91.5
2026-05-14 00:00:00,ACB,ACB,5470,5300,170,96.9
2026-05-14 00:00:00,VPBank,VPB,4930,4698,232,95.3
2026-05-14 00:00:00,Sacombank,STB,3810,3532,278,92.7
2026-05-14 00:00:00,TPBank,TPB,3240,3185,55,98.3
2026-05-14 00:00:00,Agribank,AGR,2560,2263,297,88.4
2026-05-15 00:00:00,Vietcombank,VCB,12420,12047,373,97.0
2026-05-15 00:00:00,Techcombank,TCB,9170,8941,229,97.5
2026-05-15 00:00:00,MB Bank,MBB,8850,8673,177,98.0
2026-05-15 00:00:00,VietinBank,CTG,7640,7187,453,94.1
2026-05-15 00:00:00,BIDV,BIDV,6820,6275,545,92.0
2026-05-15 00:00:00,ACB,ACB,5450,5287,163,97.0
2026-05-15 00:00:00,VPBank,VPB,4970,4722,248,95.0
2026-05-15 00:00:00,Sacombank,STB,3830,3562,268,93.0
2026-05-15 00:00:00,TPBank,TPB,3260,3195,65,98.0
2026-05-15 00:00:00,Agribank,AGR,2560,2262,298,88.4
2026-05-16 00:00:00,Vietcombank,VCB,11340,11000,340,97.0
2026-05-16 00:00:00,Techcombank,TCB,8410,8200,210,97.5
2026-05-16 00:00:00,MB Bank,MBB,8040,7880,160,98.0
2026-05-16 00:00:00,VietinBank,CTG,6860,6449,411,94.0
2026-05-16 00:00:00,BIDV,BIDV,6080,5594,486,92.0
2026-05-16 00:00:00,ACB,ACB,4790,4646,144,97.0
2026-05-16 00:00:00,VPBank,VPB,4300,4085,215,95.0
2026-05-16 00:00:00,Sacombank,STB,3340,3106,234,93.0
2026-05-16 00:00:00,TPBank,TPB,2870,2812,58,98.0
2026-05-16 00:00:00,Agribank,AGR,2200,1943,257,88.3
2026-05-17 00:00:00,Vietcombank,VCB,12150,11801,349,97.1
2026-05-17 00:00:00,Techcombank,TCB,9080,8851,229,97.5
2026-05-17 00:00:00,MB Bank,MBB,8720,8546,174,98.0
2026-05-17 00:00:00,VietinBank,CTG,7510,7060,450,94.0
2026-05-17 00:00:00,BIDV,BIDV,6650,6118,532,92.0
2026-05-17 00:00:00,ACB,ACB,5310,5150,160,97.0
2026-05-17 00:00:00,VPBank,VPB,4780,4542,238,95.0
2026-05-17 00:00:00,Sacombank,STB,3720,3457,263,92.9
2026-05-17 00:00:00,TPBank,TPB,3150,3082,68,97.8
2026-05-17 00:00:00,Agribank,AGR,2480,2183,297,88.0
2026-05-18 00:00:00,Vietcombank,VCB,11320,10991,329,97.1
2026-05-18 00:00:00,Techcombank,TCB,8410,8197,213,97.5
2026-05-18 00:00:00,MB Bank,MBB,8050,7930,120,98.5
2026-05-18 00:00:00,VietinBank,CTG,6870,6459,411,94.0
2026-05-18 00:00:00,BIDV,BIDV,6090,5583,507,91.7
2026-05-18 00:00:00,ACB,ACB,4820,4672,148,96.9
2026-05-18 00:00:00,VPBank,VPB,4330,4114,216,95.0
2026-05-18 00:00:00,Sacombank,STB,3360,3087,273,91.9
2026-05-18 00:00:00,TPBank,TPB,2880,2822,58,97.9
2026-05-18 00:00:00,Agribank,AGR,2240,1980,260,88.4
2026-05-19 00:00:00,Vietcombank,VCB,11490,11158,332,97.1
2026-05-19 00:00:00,Techcombank,TCB,8590,8375,215,97.5
2026-05-19 00:00:00,MB Bank,MBB,8230,8083,147,98.2
2026-05-19 00:00:00,VietinBank,CTG,7030,6618,412,94.1
2026-05-19 00:00:00,BIDV,BIDV,6250,5750,500,92.0
2026-05-19 00:00:00,ACB,ACB,4980,4831,149,97.0
2026-05-19 00:00:00,VPBank,VPB,4510,4285,225,95.0
2026-05-19 00:00:00,Sacombank,STB,3530,3247,283,92.0
2026-05-19 00:00:00,TPBank,TPB,3050,2995,55,98.2
2026-05-19 00:00:00,Agribank,AGR,2380,2105,275,88.4
2026-05-20 00:00:00,Vietcombank,VCB,12340,11973,367,97.0
2026-05-20 00:00:00,Techcombank,TCB,9110,8884,226,97.5
2026-05-20 00:00:00,MB Bank,MBB,8780,8607,173,98.0
2026-05-20 00:00:00,VietinBank,CTG,7580,7134,446,94.1
2026-05-20 00:00:00,BIDV,BIDV,6740,6204,536,92.0
2026-05-20 00:00:00,ACB,ACB,5380,5219,161,97.0
2026-05-20 00:00:00,VPBank,VPB,4860,4617,243,95.0
2026-05-20 00:00:00,Sacombank,STB,3770,3508,262,93.1
2026-05-20 00:00:00,TPBank,TPB,3210,3147,63,98.0
2026-05-20 00:00:00,Agribank,AGR,2510,2218,292,88.4
2026-05-21 00:00:00,Vietcombank,VCB,12490,12118,372,97.0
2026-05-21 00:00:00,Techcombank,TCB,9220,8992,228,97.6
2026-05-21 00:00:00,MB Bank,MBB,8870,8698,172,98.1
2026-05-21 00:00:00,VietinBank,CTG,7650,7197,453,94.1
2026-05-21 00:00:00,BIDV,BIDV,6810,6241,569,91.6
2026-05-21 00:00:00,ACB,ACB,5450,5287,163,97.0
